https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4511,GR-Regional Biosolids Processing Facility,Industrial,Jackson,Jefferson,NEG,7/7/2025,Additional Form Submitted, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4509,Richland Crossing,Mixed Use,Greene,unincorporated,NEG,7/2/2025,Request for Comments Made, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4507,Center Hill Quarry,"Quarries, Asphalt & Cement Plants",Taliaferro,unincorporated,CSRA,7/1/2025,Additional Form Submitted, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4505,Waterford Subdivision,Housing,Bulloch,Brooklet,CG,7/1/2025,Certified Complete, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4506,1611 Ellsworth,Mixed Use,Fulton,Atlanta,ARC,6/30/2025,DRI Determination Made, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4503,Esplanade,Housing,Bartow,Emerson,CV,6/26/2025,Request for Comments Made, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4502,1900 Level Grove Road Townhome Development,Mixed Use,Habersham,Cornelia,GM,6/24/2025,Initial Form Submitted, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4500,Exley Tract 7eleven ,Commercial,Effingham,unincorporated,CG,6/23/2025,Certified Complete, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4499,Thomas Concrete Liberty Plant,Industrial,Liberty,unincorporated,CG,6/23/2025,DRI Determination Made, , 
https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4497,South Greensboro,Housing,Greene,Greensboro,NEG,6/13/2025,Completed, , 
